Scientific Name,Common Name
Acer negundo,"Box-elder, Ash-leaved maple"
Acer rufinerve,Red veined maple
Ailanthus altissima,Tree of heaven
Aix galericulata,Mandarin duck
Akebia quinata,Five-leaf
Alopochen aegyptiacus,Egyptian goose
Ambrosia artemisiifolia,Ragweed
Ameiurus nebulosus,Brown bullhead
Amelanchier lamarckii,Juneberry
Anser indicus,Bar-headed goose
Aster lanceolatus,Narrow-leaved michaelmas daisy
Aster novi-belgii,Confused michaelmas daisy
Aster x salignus,Common michaelmas daisy
Azolla filiculoides,Water fern
Baccharis halimifolia,Eastern baccharis
Bidens frondosa,Large-leaved beggarticks
Branta canadensis,Canada goose
Buddleja davidii,Butterfly bush
Cabomba caroliniana,Carolina fanwort
Callosciurus erythraeus,"Pallas's squirrel, Red-bellied tree squirrel"
Callosciurus finlaysonii,Finlayson's squirrel
Carassius gibelio,Prussian carp
Carpobrotus spp.,Hottentot fig
Castor canadensis,Canadian beaver
Cervus nippon,Sika deer
Cornus sericea,"Red-osier dogwood, red willow"
Cotoneaster horizontalis,Rockspray
Crassula helmsii,New zealand pigmyweed
Cygnus atratus,Black swan
Cyperus eragrostis,"Tall flatsedge, Pale galingale"
Dama dama,Fallow deer
Duchesnea indica,Indian strawberry
Echinocystis lobata,Wild cucumber
Egeria densa,Brazilian waterweed
Elaeagnus angustifolia,Russian olive
Elodea canadensis,Canadian waterweed
Elodea nuttallii,Nuttall's waterweed
Epilobium ciliatum,Northern willowherb
Fallopia japonica,Japanese knotweed
Fallopia sachalinensis,Giant knotweed
Fallopia x bohemica,Hybrid knotweed
Fraxinus pennsylvanica,"Red ash, Green ash"
Gaillardia x grandiflora,Blanket flower
Harmonia axyridis,Harlequin ladybird
Helianthus tuberosus,Jerusalem artichoke
Heracleum mantegazzianum,Giant hogweed
Hyacinthoides hispanica,Spanish bluebell
Hydrocotyle ranunculoides,Water pennywort
Impatiens glandulifera,Indian balsam
Impatiens parviflora,Small yellow balsam
Koenigia polystachya,Himalayan knotweed
Lagarosiphon major,Curly waterweed
Lemna minuta,Minute duckweed
Lepomis gibbosus,Pumpkinseed
Lonicera japonica,Japanese honeysuckle
Ludwigia grandiflora,Water primrose
Ludwigia peploides,Water primrose
Lupinus polyphyllus,Garden lupin
Lysichiton americanus,American skunk cabbage
Mahonia aquifolium,Oregon grape
Mimulus guttatus,Monkeyflower
Muntiacus reevesi,Reeves' muntjac
Mustela vison,American mink
Myocastor coypus,"Coypu, Nutria"
Myriophyllum aquaticum,Parrotfeather
Myriophyllum heterophyllum,Variable watermilfoil
Neogobius melanostomus,Round goby
Nyctereutes procyonoides,Raccoon dog
Oenothera spp.,Evening primrose
Ondatra zibethicus,Muskrat
Oxyura jamaicensis,Ruddy duck
Parthenocissus spp.,(false) virginia creeper
Pelophylax ridibundus,Marsh frog
Perccottus glenii,"Rotan, Amur sleeper"
Phytolacca americana,American pokeweed
Pimephales promelas,Fathead minnow
Procyon lotor,Raccoon
Prunus laurocerasus,Cherry laurel
Prunus serotina,Black cherry
Pseudorasbora parva,"Stone moroko, Topmouth gudgeon"
Psittacula krameri,Ring-necked parakeet
Quercus rubra,Red oak
Rana catesbeiana,American bullfrog
Rattus norvegicus,Brown rat
Rhododendron ponticum,Rhododendron
Rhus typhina,Staghorn sumac
Robinia pseudoacacia,Black locust
Rosa rugosa,Rugosa rose
Rudbeckia laciniata,Cutleaf coneflower
Sander lucioperca,"Zander, Pike-perch"
Sciurus carolinensis,Grey squirrel
Senecio inaequidens,South african ragwort
Solidago canadensis,Canada goldenrod
Solidago gigantea,Giant goldenrod
Spiraea alba,Meadowsweet
Spiraea douglasii,Douglas' spirea
Spiraea tomentosa,Steeplebush
Spiraea x billardii,Billard's bridewort
Tamias sibiricus,Siberian chipmunk
Threskiornis aethiopica,Sacred ibis
Umbra pygmaea,Eastern mudminnow
